tiêu_đề (*Bắt buộc),giai_đoạn (*Bắt buộc: PRE_PREGNANCY / PREGNANCY / POSTPARTUM),nội_dung (*Bắt buộc),tóm_tắt (Không bắt buộc),danh_mục (Không bắt buộc - Tên danh mục),tên_nguồn (Không bắt buộc),link_nguồn (Không bắt buộc),nhà_xuất_bản (Không bắt buộc)
Khám sức khỏe trước khi mang thai là gì?,PRE_PREGNANCY,"<p>Đây là bước đầu tiên để chuẩn bị cho một thai kỳ khỏe mạnh. Mục tiêu là phát hiện những yếu tố có thể ảnh hưởng đến thai kỳ, vì 8 tuần đầu là giai đoạn các cơ quan chính của thai nhi phát triển.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Điều gì xảy ra trong buổi khám trước khi mang thai?,PRE_PREGNANCY,"<p>Bạn và bác sĩ sản phụ khoa hoặc nhân viên y tế chăm sóc sản khoa sẽ trao đổi về chế độ ăn, lối sống, tiền sử bệnh và gia đình, các thuốc đang dùng và những lần mang thai trước. Bác sĩ cũng xem lại lịch tiêm chủng và trao đổi về nguy cơ nhiễm trùng lây truyền qua đường tình dục (STI) và cách phòng tránh.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có thể làm gì để khỏe mạnh hơn trước khi mang thai?,PRE_PREGNANCY,"<p>Những tháng trước khi mang thai là thời điểm tốt để cải thiện sức khỏe: ăn uống lành mạnh và dùng vitamin dành cho thai kỳ; tập thể dục đều đặn; đạt và duy trì cân nặng khỏe mạnh; ngừng sử dụng thuốc lá, rượu, cần sa, ma túy bất hợp pháp và thuốc kê đơn dùng không vì mục đích điều trị; đồng thời giữ môi trường sống an toàn.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Có công cụ nào giúp tôi lập kế hoạch ăn uống lành mạnh không?,PRE_PREGNANCY,<p>Có. Một công cụ hữu ích là hướng dẫn lập kế hoạch bữa ăn MyPlate của Bộ Nông nghiệp Hoa Kỳ. Trang MyPlate giúp bạn học cách lựa chọn thực phẩm lành mạnh cho mỗi bữa ăn.</p>,,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi cần biết gì về cân nặng trước khi mang thai?,PRE_PREGNANCY,"<p>Nếu đang dự định mang thai, bạn nên cố gắng đạt cân nặng khỏe mạnh trước khi có thai. Thiếu cân hoặc thừa cân có thể gây vấn đề trong thai kỳ. Hãy trao đổi với bác sĩ xem cân nặng hiện tại có thể ảnh hưởng đến thai kỳ hay không.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên cân nặng bao nhiêu?,PRE_PREGNANCY,"<p>Để duy trì sức khỏe, cân nặng nên phù hợp với chiều cao. Chỉ số khối cơ thể (BMI) được tính từ chiều cao và cân nặng để xác định thiếu cân, cân nặng bình thường, thừa cân hoặc béo phì. BMI dưới 18,5 là thiếu cân; 18,5–24,9 là bình thường; 25–29,9 là thừa cân; từ 30 trở lên là béo phì.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Thừa cân hoặc béo phì có thể gây vấn đề gì trong thai kỳ?,PRE_PREGNANCY,"<p>Thừa cân trong thai kỳ liên quan đến tăng huyết áp, tiền sản giật, sinh non và tiểu đường thai kỳ. Béo phì còn làm tăng nguy cơ thai to, chấn thương khi sinh, sinh mổ và dị tật bẩm sinh, đặc biệt là dị tật ống thần kinh.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi cần biết gì về việc giảm cân?,PRE_PREGNANCY,"<p>Nếu bác sĩ khuyên giảm cân, ngay cả giảm một lượng nhỏ cũng có thể cải thiện sức khỏe tổng thể và tạo nền tảng cho thai kỳ khỏe mạnh hơn. Cách tốt nhất là thay đổi chế độ ăn và tăng hoạt động thể chất. Giảm lượng calo hằng ngày, chẳng hạn tránh đồ uống có đường và kiểm soát khẩu phần, là những bước hữu ích.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên tập thể dục bao nhiêu?,PRE_PREGNANCY,"<p>Cố gắng thực hiện 150 phút hoạt động thể chất mức độ vừa mỗi tuần, cùng các bài tập tăng cường cơ ít nhất 2 ngày mỗi tuần. Có thể chia thành các buổi ngắn hơn, chẳng hạn 30 phút trong 5 ngày mỗi tuần.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Thiếu cân có thể gây vấn đề khi mang thai không?,PRE_PREGNANCY,<p>Có. Thiếu cân làm tăng nguy cơ em bé có cân nặng sơ sinh thấp. Trẻ nhẹ cân có nguy cơ gặp vấn đề trong chuyển dạ và sau sinh. Thiếu cân cũng làm tăng nguy cơ sinh non.</p>,,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
