# Tài liệu đã loại khỏi kho tri thức AI Nurse vì KHÔNG thuộc chăm sóc mẹ & bé.
# Cột chunks = số chunk trong DB tại thời điểm loại (2026-09-22). Xoá/khôi phục bằng scripts/prune_off_domain_documents.py
# D1: Xã hội/chính sách không y khoa: bạo lực giới, luật bình đẳng giới, người cao tuổi, báo cáo dân số, di cư
# D2: Giáo dục giới tính học đường, SRHR vị thành niên, infographic SRHR theo quốc gia
# D3: Sức khỏe môi trường, độc chất, thiên tai, khủng bố sinh học
# D4: Bệnh mạn tính/bệnh lý người lớn không gắn với thai kỳ (ĐTĐ típ 1/2 và biến chứng, THA, bại liệt, bệnh di truyền...)
# D5: Ung thư và bệnh lý ngoài thai sản: vú, buồng trứng, tử cung, âm hộ, nam khoa, mãn kinh, phẫu thuật thẩm mỹ
# D6: Tâm thần người lớn/người cao tuổi và quản trị hệ thống sức khỏe tâm thần (không phải chu sinh)
# D7: Hành chính/lịch sử bệnh viện, chất lượng bệnh viện, bảng kiểm IPC, chính sách thuế thực phẩm, số liệu thống kê, tài liệu kỹ thuật chẩn đoán hình ảnh, bản tiếng Ả Rập
group	file	title	chunks
D1	20210301_final_srb_factsheet_eng_1.md	Mất cân bằng tỷ số giới tính khi sinh tại Việt Nam: xu hướng và khác biệt	23
D1	20210630_final_fertilityreport_vn_0.md	Thực trạng và các yếu tố tác động đến mức sinh tại Việt Nam	249
D1	CVA.VN_.25.6.1.md	We were included, our needs were seen - Cash assistance for older persons affected by Typhoon Yagi in Viet Nam	65
D1	DHR_Harassment_sexual_harassment_abuse_of_authority.md	Chính sách về quấy rối, quấy rối tình dục và lạm dụng quyền hạn	29
D1	EVAWC_Mid-term_review_report_final.md	Mid-Term Review Report - Elimination of Violence against Women and Children in Viet Nam 2021-2025 Programme	408
D1	Factsheet_EN_1.md	Project Results Factsheets - Leave No One Behind: Innovative Interventions to Reduce Maternal Mortality in Ethnic Minority Regions of Viet Nam	23
D1	GBV_case_management_0.md	Interagency Gender-Based Violence Case Management Guidelines	742
D1	Gender_Factsheet_Eng_1.md	Phòng ngừa và ứng phó bạo lực trên cơ sở giới tại Việt Nam	26
D1	Migration_Main_PaperENGFINAL.md	Internal Migration: Opportunities and challenges for socio-economic development in Viet Nam	294
D1	WHO_2002_Lua_chon_Dao_duc_Cham_soc_Dai_han_Cong_bang.md	WHO 2002 — Lựa chọn đạo đức trong chăm sóc dài hạn: công bằng đòi hỏi điều gì?	434
D1	WHO_Europe_2023_Thuc_day_van_dong_va_dinh_duong_lanh_manh_cho_nguoi_cao_tuoi_FULLTEXT.md	Who Europe 2023 Thuc Day Van Dong Va Dinh Duong Lanh Manh Cho Nguoi Cao Tuoi Fulltext	198
D1	en_-_vccihcm_report_-_market_mapping_on_elderly_care_service.md	Market Outlook for Elderly Care Service in Vietnam (2021)	447
D1	factsheet_en.md	Policy Options for the Revision of the Law on Gender Equality in Relation to Gender-Based Violence and Harmful Practices	90
